surface_name	site_name	species_name	formation_energy	integral_formation_energy	coverage	coadsorbate_name	coadsorbate_coverage	bulk_structure	frequencies	other_parameters	reference	ensemble_path
Rh	111	CCO	-0.86	-0.97	0.11	CO	0.55	fcc	[56.0, 169.0, 308.0, 358.0, 374.0, 557.0, 574.0, 1227.0, 2093.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#5CO-hcp#CCO-fbr0/calc-esp_BEEF_500441_1/Rh_111_CCO-fbr0.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#5CO-hcp#CCO-fbr0/calc-esp_BEEF_500441_ens/5CO-hcp+CCO-fbr0.bee
Rh	111	CCO	-1.38	-0.15	0.11	None	0.00	fcc	[56.0, 169.0, 308.0, 358.0, 374.0, 557.0, 574.0, 1227.0, 2093.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#CCO-fbr0/calc-esp_BEEF_500441_1/Rh_CCO_fbr0.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#CCO-fbr0/calc-esp_BEEF_500441_ens/CCO.bee
Rh	111	CCOH	-0.56	-0.06	0.11	None	0.00	fcc	[56.0, 252.0, 368.0, 377.0, 411.0, 472.0, 586.0, 665.0, 1038.0, 1321.0, 1559.0, 3621.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#CCOH-sbr0/calc-esp_BEEF_500441_1/Rh_CCOH_sbr0.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#CCOH-sbr0/calc-esp_BEEF_500441_ens/CCOH.bee
Rh	111	CCOH	0.4	-0.83	0.11	CO	0.55	fcc	[56.0, 252.0, 368.0, 377.0, 411.0, 472.0, 586.0, 665.0, 1038.0, 1321.0, 1559.0, 3621.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#5CO-hcp#CCOH-sbr0/calc-esp_BEEF_500441_1/Rh_111_CCOH-sbr0.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#5CO-hcp#CCOH-sbr3/calc-esp_BEEF_500441_ens/5CO-hcp+CCOH-sbr3.bee
Rh	111	CCOO	-0.05	-0.88	0.11	CO	0.55	fcc	[137.0, 177.0, 276.0, 302.0, 385.0, 458.0, 543.0, 676.0, 724.0, 911.0, 1069.0, 1693.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#5CO-hcp#CCOO-hcp/calc-esp_BEEF_500441_1/Rh_111_CCOO-hcp.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#5CO-hcp#CCOO-hcp/calc-esp_BEEF_500441_ens/5CO-hcp+CCOO-hcp.bee
Rh	111	CCOO	-1.17	-0.13	0.11	None	0.00	fcc	[137.0, 177.0, 276.0, 302.0, 385.0, 458.0, 543.0, 676.0, 724.0, 911.0, 1069.0, 1693.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#CCOO-hcp/calc-esp_BEEF_500441_1/Rh_CCOO-hcp.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#CCOO-hcp/calc-esp_BEEF_500441_ens/CCOO.bee
Rh	111	CCOOH	-1.14	-1.0	0.11	CO	0.55	fcc	[56.0, 75.0, 171.0, 259.0, 336.0, 394.0, 573.0, 596.0, 622.0, 733.0, 934.0, 1109.0, 1317.0, 1657.0, 3641.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#5CO-hcp#CCOOH-hcp/calc-esp_BEEF_500441_1/Rh_111_CCOOH-hcp.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#5CO-hcp#CCOOH-hcp/calc-esp_BEEF_500441_ens/5CO-hcp+CCOOH-hcp.bee
Rh	111	CCOOH	-1.73	-0.19	0.11	None	0.00	fcc	[56.0, 75.0, 171.0, 259.0, 336.0, 394.0, 573.0, 596.0, 622.0, 733.0, 934.0, 1109.0, 1317.0, 1657.0, 3641.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#CCOOH-hcp1/calc-esp_BEEF_500441_1/Rh_111_CCOOH-hcp1.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#CCOOH-hcp1/calc-esp_BEEF_500441_ens/CCOOH.bee
Rh	111	CH	-0.23	-0.9	0.11	CO	0.55	fcc	[413.0, 437.0, 487.0, 710.0, 735.0, 3045.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#5CO-hcp#CH-fcc/calc-esp_BEEF_500441_1/Rh_111_CH-fcc.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#5CO-hcp#CH-fcc/calc-esp_BEEF_500441_ens/5CO-hcp+CH-fcc.bee
Rh	111	CH	-0.33	-0.74	0.11	CO	0.44	fcc	[413.0, 437.0, 487.0, 710.0, 735.0, 3045.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#4CO-hcp#CH-fcc/calc-esp_BEEF_500441_1/CH_4CO.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#4CO-hcp#CH-fcc/calc-esp_BEEF_500441_ens/4CO-hcp+CH-fcc.bee
Rh	111	CH	-0.56	-0.06	0.11	None	0.00	fcc	[413.0, 437.0, 487.0, 710.0, 735.0, 3045.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#CH-hcp/calc-esp_BEEF_500441_1/Rh_CH_hcp.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#CH-hcp/calc-esp_BEEF_500441_ens/CH.bee
Rh	111	CH-CO	-0.14	-0.72	0.11	CO	0.44	fcc	[56.0, 56.0, 150.0, 347.0, 373.0, 460.0, 580.0, 767.0, 961.0, 1607.0, 3001.0]	[]	/u/if/ajmedfor/nfs/data//projects/Rh_EtOH/jobs/optimize_CO_positions/HCO-H/TS/HCO-H.traj	None
Rh	111	CH-CO	-0.86	-0.1	0.11	None	0.00	fcc	[56.0, 56.0, 150.0, 347.0, 373.0, 460.0, 580.0, 767.0, 961.0, 1607.0, 3001.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/neb/slab-Rh_111_334#CH@CO-ts/calc-esp_BEEF_500441_1/TS.traj	None
Rh	111	CH-CO	0.14	-0.86	0.11	CO	0.55	fcc	[56.0, 56.0, 150.0, 347.0, 373.0, 460.0, 580.0, 767.0, 961.0, 1607.0, 3001.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/neb/slab-Rh_111_334#5CO-hcp#CH@CO-ts/calc-esp_BEEF_500441_1/TS.traj	None
Rh	111	CH-H	0.15	0.02	0.11	None	0.00	fcc	[270.0, 369.0, 382.0, 566.0, 681.0, 955.0, 1998.0, 3025.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/neb/slab-Rh_111_334#CH@H-ts/calc-esp_BEEF_500441_1/TS.traj	None
Rh	111	CH-H	0.6	-0.64	0.11	CO	0.44	fcc	[270.0, 369.0, 382.0, 566.0, 681.0, 955.0, 1998.0, 3025.0]	[]	/u/if/ajmedfor/nfs/data//projects/Rh_EtOH/jobs/optimize_CO_positions/HCO-H/TS/HCO-H.traj	None
Rh	111	CH-H	0.92	-0.77	0.11	CO	0.55	fcc	[270.0, 369.0, 382.0, 566.0, 681.0, 955.0, 1998.0, 3025.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/neb/slab-Rh_111_334#5CO-hcp#CH@H-ts/calc-esp_BEEF_500441_1/TS.traj	None
Rh	111	CH-OH	0.45	0.05	0.11	None	0.00	fcc	[194.0, 314.0, 411.0, 461.0, 643.0, 671.0, 723.0, 755.0, 849.0, 3162.0, 3676.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/neb/slab-Rh_111_334#CH@OH-ts/calc-esp_BEEF_500441_1/TS.traj	None
Rh	111	CH-OH	0.75	-0.63	0.11	CO	0.44	fcc	[194.0, 314.0, 411.0, 461.0, 643.0, 671.0, 723.0, 755.0, 849.0, 3162.0, 3676.0]	[]	/u/if/ajmedfor/nfs/data//projects/Rh_EtOH/jobs/optimize_CO_positions/HCO-H/TS/HCO-H.traj	None
Rh	111	CH-OH	0.98	-0.76	0.11	CO	0.55	fcc	[194.0, 314.0, 411.0, 461.0, 643.0, 671.0, 723.0, 755.0, 849.0, 3162.0, 3676.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/neb/slab-Rh_111_334#5CO-hcp#CH@OH-ts/calc-esp_BEEF_500441_1/TS.traj	None
Rh	111	CH2	-0.07	-0.01	0.11	None	0.00	fcc	[56.0, 306.0, 382.0, 468.0, 663.0, 790.0, 1356.0, 2737.0, 3004.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#CH2-fcc/calc-esp_BEEF_500441_1/Rh_CH2_fcc.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#CH2-fcc/calc-esp_BEEF_500441_ens/CH2.bee
Rh	111	CH2	0.07	-0.7	0.11	CO	0.44	fcc	[56.0, 306.0, 382.0, 468.0, 663.0, 790.0, 1356.0, 2737.0, 3004.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#4CO-hcp#CH2-fcc/calc-esp_BEEF_500441_1/CH2_4CO.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#4CO-hcp#CH2-fcc/calc-esp_BEEF_500441_ens/4CO-hcp+CH2-fcc.bee
Rh	111	CH2	0.19	-0.85	0.11	CO	0.55	fcc	[56.0, 306.0, 382.0, 468.0, 663.0, 790.0, 1356.0, 2737.0, 3004.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#5CO-hcp#CH2-fcc/calc-esp_BEEF_500441_1/Rh_111_CH2-fcc.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#5CO-hcp#CH2-fcc/calc-esp_BEEF_500441_ens/5CO-hcp+CH2-fcc.bee
